periodo,disciplina,situacaoDisciplina
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,CANCELADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,CANCELADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,CANCELADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,CANCELADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,CANCELADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,CANCELADO
2,Fundamentos_Sistemas_Informacao,CANCELADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,CANCELADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,CANCELADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,CANCELADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
